API_A,API_B,MethodAbstraction,ClassAbstraction,PackageAbstraction
org.apache.httpcomponents:httpclient,org.apache.lucene:lucene-analyzers-common,0,0,0
org.apache.httpcomponents:httpclient,commons-io:commons-io,0,0,0
org.apache.httpcomponents:httpclient,commons-cli:commons-cli,0,0,0
org.apache.httpcomponents:httpclient,org.apache.lucene:lucene-core,0,0,0
org.apache.httpcomponents:httpclient,org.apache.commons:commons-lang3,0,0,0
org.apache.httpcomponents:httpclient,org.apache.lucene:lucene-queryparser,0,0,0
org.apache.httpcomponents:httpclient,org.mockito:mockito-core,0,0,0
org.apache.httpcomponents:httpclient,com.fasterxml.jackson.core:jackson-databind,1,1,1
org.apache.httpcomponents:httpclient,junit:junit,0,0,1
org.apache.httpcomponents:httpclient,org.apache.opennlp:opennlp-tools,1,1,1
org.apache.httpcomponents:httpclient,org.slf4j:slf4j-api,1,1,1
org.apache.lucene:lucene-analyzers-common,commons-io:commons-io,0,0,1
org.apache.lucene:lucene-analyzers-common,commons-cli:commons-cli,0,0,1
org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-core,0,0,1
org.apache.lucene:lucene-analyzers-common,org.apache.commons:commons-lang3,0,0,1
org.apache.lucene:lucene-analyzers-common,org.apache.lucene:lucene-queryparser,0,0,0
org.apache.lucene:lucene-analyzers-common,org.mockito:mockito-core,0,0,0
org.apache.lucene:lucene-analyzers-common,com.fasterxml.jackson.core:jackson-databind,0,0,0
org.apache.lucene:lucene-analyzers-common,junit:junit,0,0,1
org.apache.lucene:lucene-analyzers-common,org.apache.opennlp:opennlp-tools,0,0,0
org.apache.lucene:lucene-analyzers-common,org.slf4j:slf4j-api,0,0,1
commons-io:commons-io,commons-cli:commons-cli,1,1,1
commons-io:commons-io,org.apache.lucene:lucene-core,0,1,1
commons-io:commons-io,org.apache.commons:commons-lang3,0,1,1
commons-io:commons-io,org.apache.lucene:lucene-queryparser,0,0,0
commons-io:commons-io,org.mockito:mockito-core,0,0,0
commons-io:commons-io,com.fasterxml.jackson.core:jackson-databind,0,0,0
commons-io:commons-io,junit:junit,0,0,2
commons-io:commons-io,org.apache.opennlp:opennlp-tools,0,0,0
commons-io:commons-io,org.slf4j:slf4j-api,1,1,1
commons-cli:commons-cli,org.apache.lucene:lucene-core,0,1,1
commons-cli:commons-cli,org.apache.commons:commons-lang3,1,1,1
commons-cli:commons-cli,org.apache.lucene:lucene-queryparser,0,0,0
commons-cli:commons-cli,org.mockito:mockito-core,0,0,0
commons-cli:commons-cli,com.fasterxml.jackson.core:jackson-databind,0,0,0
commons-cli:commons-cli,junit:junit,0,0,1
commons-cli:commons-cli,org.apache.opennlp:opennlp-tools,0,0,0
commons-cli:commons-cli,org.slf4j:slf4j-api,1,1,1
org.apache.lucene:lucene-core,org.apache.commons:commons-lang3,0,1,1
org.apache.lucene:lucene-core,org.apache.lucene:lucene-queryparser,1,1,1
org.apache.lucene:lucene-core,org.mockito:mockito-core,0,0,0
org.apache.lucene:lucene-core,com.fasterxml.jackson.core:jackson-databind,0,0,0
org.apache.lucene:lucene-core,junit:junit,1,1,2
org.apache.lucene:lucene-core,org.apache.opennlp:opennlp-tools,0,0,0
org.apache.lucene:lucene-core,org.slf4j:slf4j-api,3,2,2
org.apache.commons:commons-lang3,org.apache.lucene:lucene-queryparser,0,0,0
org.apache.commons:commons-lang3,org.mockito:mockito-core,0,0,0
org.apache.commons:commons-lang3,com.fasterxml.jackson.core:jackson-databind,0,0,0
org.apache.commons:commons-lang3,junit:junit,0,0,1
org.apache.commons:commons-lang3,org.apache.opennlp:opennlp-tools,0,0,0
org.apache.commons:commons-lang3,org.slf4j:slf4j-api,0,1,1
org.apache.lucene:lucene-queryparser,org.mockito:mockito-core,0,0,0
org.apache.lucene:lucene-queryparser,com.fasterxml.jackson.core:jackson-databind,0,0,0
org.apache.lucene:lucene-queryparser,junit:junit,0,0,2
org.apache.lucene:lucene-queryparser,org.apache.opennlp:opennlp-tools,0,0,0
org.apache.lucene:lucene-queryparser,org.slf4j:slf4j-api,2,2,2
org.mockito:mockito-core,com.fasterxml.jackson.core:jackson-databind,0,0,0
org.mockito:mockito-core,junit:junit,6,1,1
org.mockito:mockito-core,org.apache.opennlp:opennlp-tools,0,0,0
org.mockito:mockito-core,org.slf4j:slf4j-api,0,0,1
com.fasterxml.jackson.core:jackson-databind,junit:junit,0,0,1
com.fasterxml.jackson.core:jackson-databind,org.apache.opennlp:opennlp-tools,1,1,1
com.fasterxml.jackson.core:jackson-databind,org.slf4j:slf4j-api,1,1,1
junit:junit,org.apache.opennlp:opennlp-tools,0,0,1
junit:junit,org.slf4j:slf4j-api,0,2,7
org.apache.opennlp:opennlp-tools,org.slf4j:slf4j-api,1,1,1
